,CBERT,BERTScore,BARTScore,R-1,R-2,R-L
0,0.69,0.79,0.27,0.13,0.02,0.07
1,0.63,0.81,0.16,0.05,0.01,0.04
2,0.7,0.8,0.14,0.02,0.0,0.01
3,0.54,0.78,0.15,0.16,0.0,0.09
4,0.69,0.79,0.12,0.12,0.01,0.07
5,0.71,0.8,0.19,0.07,0.01,0.04
6,0.62,0.78,0.23,0.14,0.01,0.08
7,0.64,0.79,0.23,0.09,0.01,0.06
8,0.68,0.79,0.22,0.06,0.0,0.03
9,0.64,0.78,0.21,0.05,0.01,0.03
10,0.65,0.79,0.22,0.13,0.01,0.06
11,0.65,0.78,0.17,0.06,0.0,0.03
12,0.69,0.77,0.16,0.05,0.01,0.03
13,0.63,0.78,0.18,0.04,0.0,0.03
14,0.62,0.79,0.21,0.05,0.01,0.04
15,0.63,0.79,0.25,0.33,0.04,0.16
16,0.54,0.79,0.18,0.17,0.02,0.09
17,0.5,0.79,0.12,0.24,0.02,0.12
18,0.46,0.76,0.31,0.23,0.02,0.13
19,0.61,0.8,0.19,0.11,0.01,0.06
20,0.68,0.79,0.2,0.1,0.01,0.05
21,0.6,0.77,0.18,0.09,0.0,0.06
22,0.69,0.79,0.1,0.05,0.01,0.02
23,0.67,0.79,0.21,0.04,0.0,0.02
24,0.62,0.78,0.27,0.13,0.02,0.07
25,0.64,0.8,0.24,0.2,0.03,0.09
