,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
0,0.67,0.57,0.62,0.85,0.77,0.81,0.24,0.1,0.03,0.07
1,0.83,0.77,0.8,0.87,0.85,0.86,0.37,0.62,0.29,0.36
2,0.49,0.67,0.57,0.84,0.85,0.85,0.28,0.43,0.17,0.29
3,0.78,0.64,0.7,0.85,0.82,0.83,0.31,0.25,0.08,0.12
4,0.39,0.39,0.39,0.83,0.84,0.83,0.15,0.11,0.0,0.11
5,0.26,0.31,0.28,0.84,0.81,0.83,0.24,0.39,0.24,0.39
6,0.72,0.48,0.57,0.88,0.82,0.85,0.4,0.2,0.09,0.11
7,0.86,0.7,0.77,0.84,0.8,0.82,0.39,0.18,0.09,0.13
8,0.86,0.74,0.8,0.86,0.84,0.85,0.34,0.42,0.18,0.21
9,0.76,0.74,0.75,0.88,0.85,0.87,0.42,0.53,0.3,0.35
10,0.84,0.62,0.71,0.86,0.82,0.84,0.37,0.2,0.1,0.11
11,0.82,0.69,0.75,0.86,0.81,0.83,0.4,0.2,0.09,0.13
12,0.63,0.49,0.55,0.87,0.78,0.82,0.38,0.22,0.08,0.15
13,0.89,0.84,0.87,0.87,0.86,0.87,0.4,0.27,0.15,0.17
14,0.59,0.51,0.55,0.83,0.81,0.82,0.26,0.31,0.07,0.13
15,0.7,0.46,0.56,0.82,0.79,0.8,0.27,0.06,0.02,0.04
16,0.77,0.75,0.76,0.88,0.88,0.88,0.41,0.6,0.37,0.4
17,0.77,0.62,0.69,0.86,0.83,0.84,0.3,0.31,0.07,0.13
18,0.73,0.66,0.7,0.85,0.79,0.82,0.36,0.36,0.14,0.21
19,0.95,0.64,0.76,0.88,0.79,0.83,0.57,0.11,0.08,0.07
20,0.73,0.67,0.7,0.82,0.77,0.8,0.29,0.18,0.05,0.1
21,0.81,0.57,0.67,0.9,0.83,0.86,0.57,0.3,0.17,0.25
22,0.74,0.47,0.58,0.84,0.75,0.79,0.22,0.06,0.02,0.03
23,0.75,0.56,0.64,0.85,0.78,0.82,0.34,0.15,0.06,0.1
24,0.75,0.6,0.67,0.88,0.83,0.85,0.38,0.23,0.1,0.13
25,0.85,0.9,0.87,0.88,0.84,0.86,0.43,0.66,0.4,0.44
26,0.75,0.5,0.6,0.86,0.79,0.82,0.42,0.11,0.04,0.07
27,0.77,0.72,0.75,0.82,0.8,0.81,0.27,0.36,0.11,0.19
28,0.9,0.7,0.79,0.9,0.83,0.86,0.59,0.23,0.16,0.19
29,0.76,0.59,0.66,0.89,0.81,0.85,0.45,0.24,0.1,0.16
30,0.91,0.66,0.77,0.92,0.85,0.88,0.58,0.31,0.24,0.21
31,0.82,0.61,0.7,0.88,0.79,0.83,0.41,0.16,0.08,0.11
32,0.67,0.57,0.61,0.84,0.78,0.81,0.3,0.22,0.06,0.13
33,0.84,0.75,0.79,0.88,0.85,0.86,0.43,0.32,0.17,0.2
34,0.75,0.6,0.67,0.84,0.79,0.82,0.41,0.17,0.08,0.12
35,0.85,0.68,0.75,0.87,0.82,0.84,0.37,0.35,0.16,0.19
36,0.74,0.75,0.74,0.86,0.84,0.85,0.36,0.48,0.21,0.26
37,0.76,0.66,0.71,0.82,0.81,0.81,0.32,0.24,0.08,0.11
38,0.7,0.58,0.63,0.85,0.82,0.83,0.35,0.45,0.22,0.25
39,0.74,0.78,0.76,0.85,0.85,0.85,0.27,0.61,0.27,0.35
40,0.69,0.57,0.62,0.87,0.83,0.85,0.42,0.34,0.14,0.2
41,0.72,0.52,0.6,0.85,0.8,0.82,0.29,0.26,0.03,0.12
42,0.77,0.76,0.76,0.87,0.86,0.86,0.39,0.44,0.2,0.25
43,0.85,0.62,0.72,0.86,0.8,0.83,0.38,0.08,0.05,0.06
44,0.83,0.71,0.77,0.87,0.82,0.84,0.38,0.31,0.13,0.17
45,0.77,0.65,0.71,0.86,0.8,0.83,0.35,0.31,0.15,0.15
46,0.79,0.69,0.73,0.85,0.81,0.83,0.39,0.24,0.12,0.15
47,0.8,0.66,0.72,0.91,0.88,0.89,0.49,0.41,0.3,0.29
48,0.74,0.55,0.63,0.87,0.78,0.82,0.33,0.1,0.05,0.07
49,0.72,0.61,0.66,0.87,0.81,0.84,0.35,0.21,0.07,0.13
50,0.79,0.69,0.74,0.86,0.82,0.84,0.41,0.46,0.21,0.32
51,0.92,0.77,0.84,0.9,0.87,0.89,0.62,0.5,0.35,0.4
52,0.87,0.75,0.81,0.89,0.84,0.87,0.44,0.41,0.24,0.23
53,0.85,0.67,0.75,0.87,0.82,0.84,0.36,0.25,0.08,0.12
54,0.76,0.7,0.73,0.86,0.81,0.83,0.35,0.3,0.11,0.15
55,0.12,0.37,0.18,0.79,0.84,0.81,0.28,0.33,0.0,0.33
56,0.15,0.31,0.2,0.78,0.83,0.8,0.25,0.56,0.12,0.33
57,0.77,0.74,0.75,0.84,0.83,0.84,0.31,0.58,0.26,0.33
58,0.72,0.6,0.65,0.85,0.8,0.82,0.32,0.21,0.08,0.14
59,0.77,0.44,0.56,0.85,0.76,0.8,0.35,0.04,0.02,0.03
60,0.76,0.57,0.65,0.86,0.82,0.84,0.32,0.29,0.05,0.16
61,0.91,0.6,0.72,0.89,0.81,0.85,0.44,0.2,0.09,0.11
62,0.91,0.72,0.8,0.89,0.82,0.85,0.47,0.28,0.13,0.18
63,0.81,0.73,0.77,0.82,0.82,0.82,0.31,0.37,0.15,0.17
64,0.12,0.32,0.17,0.8,0.82,0.81,0.23,0.22,0.0,0.22
65,0.79,0.74,0.76,0.83,0.82,0.83,0.36,0.27,0.11,0.13
66,0.83,0.69,0.75,0.86,0.82,0.84,0.32,0.37,0.13,0.17
