,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
0,0.46,0.57,0.51,0.79,0.68,0.73,0.21,0.2,0.01,0.11
1,0.58,0.54,0.56,0.79,0.65,0.72,0.18,0.17,0.01,0.11
2,0.56,0.55,0.56,0.8,0.69,0.74,0.28,0.24,0.03,0.14
3,0.6,0.46,0.52,0.81,0.68,0.74,0.23,0.06,0.0,0.03
4,0.48,0.44,0.46,0.81,0.63,0.71,0.16,0.06,0.0,0.05
5,0.39,0.51,0.44,0.8,0.76,0.78,0.2,0.28,0.01,0.15
6,0.48,0.57,0.52,0.78,0.69,0.73,0.22,0.29,0.04,0.16
7,0.64,0.55,0.59,0.78,0.66,0.71,0.22,0.08,0.02,0.04
8,0.61,0.61,0.61,0.79,0.69,0.73,0.22,0.21,0.03,0.1
9,0.49,0.39,0.44,0.82,0.66,0.73,0.31,0.09,0.0,0.06
10,0.56,0.45,0.49,0.81,0.68,0.74,0.15,0.04,0.01,0.03
11,0.59,0.52,0.55,0.78,0.62,0.69,0.19,0.07,0.01,0.05
12,0.53,0.51,0.52,0.78,0.69,0.73,0.25,0.24,0.02,0.13
13,0.77,0.62,0.69,0.82,0.69,0.75,0.19,0.07,0.02,0.05
14,0.66,0.55,0.6,0.81,0.74,0.77,0.2,0.14,0.02,0.07
15,0.65,0.57,0.61,0.8,0.67,0.73,0.25,0.1,0.02,0.06
16,0.5,0.58,0.53,0.74,0.62,0.68,0.19,0.36,0.03,0.19
17,0.57,0.57,0.57,0.79,0.68,0.73,0.22,0.3,0.04,0.13
18,0.48,0.56,0.52,0.79,0.69,0.74,0.25,0.16,0.01,0.09
19,0.67,0.53,0.59,0.78,0.61,0.69,0.19,0.07,0.01,0.04
20,0.56,0.53,0.54,0.78,0.67,0.72,0.29,0.09,0.01,0.07
21,0.63,0.56,0.59,0.8,0.65,0.72,0.26,0.19,0.02,0.1
22,0.53,0.54,0.54,0.78,0.61,0.68,0.21,0.11,0.02,0.07
23,0.47,0.48,0.48,0.8,0.69,0.74,0.25,0.1,0.01,0.05
24,0.46,0.47,0.47,0.79,0.71,0.74,0.26,0.17,0.01,0.1
25,0.62,0.6,0.61,0.8,0.66,0.72,0.24,0.12,0.02,0.07
26,0.5,0.5,0.5,0.8,0.7,0.74,0.25,0.25,0.03,0.12
27,0.52,0.56,0.54,0.77,0.68,0.73,0.2,0.12,0.01,0.06
28,0.54,0.53,0.54,0.79,0.67,0.73,0.24,0.16,0.02,0.09
29,0.46,0.45,0.46,0.8,0.67,0.73,0.19,0.06,0.01,0.05
30,0.54,0.49,0.52,0.81,0.75,0.78,0.4,0.15,0.02,0.08
31,0.49,0.5,0.5,0.81,0.68,0.74,0.25,0.16,0.02,0.09
32,0.49,0.44,0.47,0.81,0.63,0.71,0.18,0.03,0.0,0.02
33,0.61,0.52,0.56,0.79,0.71,0.75,0.22,0.17,0.03,0.09
34,0.6,0.49,0.54,0.8,0.7,0.75,0.28,0.08,0.02,0.06
35,0.63,0.6,0.61,0.79,0.73,0.76,0.24,0.3,0.04,0.13
36,0.6,0.52,0.56,0.81,0.72,0.76,0.27,0.29,0.03,0.14
37,0.58,0.46,0.51,0.8,0.69,0.74,0.18,0.04,0.0,0.03
38,0.58,0.45,0.51,0.8,0.67,0.73,0.25,0.17,0.01,0.1
39,0.56,0.68,0.61,0.8,0.72,0.76,0.24,0.49,0.09,0.24
40,0.51,0.49,0.5,0.78,0.67,0.72,0.23,0.29,0.03,0.16
41,0.42,0.55,0.48,0.78,0.68,0.72,0.25,0.13,0.01,0.08
42,0.52,0.49,0.5,0.79,0.64,0.71,0.22,0.12,0.02,0.09
43,0.61,0.45,0.52,0.8,0.71,0.75,0.23,0.05,0.01,0.03
44,0.62,0.58,0.6,0.78,0.64,0.71,0.22,0.29,0.03,0.12
45,0.63,0.48,0.54,0.8,0.6,0.69,0.17,0.08,0.02,0.06
46,0.5,0.45,0.47,0.8,0.68,0.73,0.21,0.08,0.0,0.04
47,0.61,0.5,0.55,0.81,0.64,0.72,0.24,0.16,0.01,0.09
48,0.68,0.58,0.62,0.77,0.62,0.69,0.22,0.12,0.02,0.07
49,0.5,0.47,0.48,0.77,0.66,0.71,0.26,0.09,0.01,0.06
50,0.57,0.62,0.59,0.78,0.66,0.72,0.21,0.28,0.04,0.13
51,0.51,0.55,0.53,0.8,0.72,0.76,0.3,0.13,0.02,0.08
52,0.61,0.63,0.62,0.79,0.7,0.74,0.22,0.18,0.03,0.09
53,0.6,0.59,0.6,0.79,0.69,0.74,0.22,0.2,0.02,0.1
54,0.5,0.52,0.51,0.78,0.63,0.7,0.25,0.15,0.02,0.09
55,0.55,0.47,0.51,0.81,0.68,0.74,0.23,0.17,0.01,0.1
56,0.49,0.52,0.51,0.79,0.63,0.7,0.27,0.18,0.01,0.09
57,0.67,0.54,0.6,0.78,0.68,0.73,0.2,0.2,0.02,0.1
58,0.6,0.61,0.6,0.81,0.68,0.74,0.25,0.22,0.05,0.1
59,0.58,0.55,0.56,0.79,0.65,0.71,0.23,0.33,0.06,0.17
60,0.53,0.6,0.56,0.78,0.66,0.71,0.2,0.28,0.04,0.12
61,0.58,0.44,0.5,0.81,0.63,0.71,0.22,0.07,0.01,0.05
62,0.59,0.63,0.61,0.77,0.66,0.71,0.19,0.35,0.03,0.16
63,0.5,0.4,0.44,0.8,0.7,0.75,0.21,0.03,0.0,0.02
64,0.52,0.62,0.57,0.78,0.66,0.72,0.27,0.25,0.03,0.13
65,0.51,0.38,0.44,0.79,0.63,0.7,0.16,0.01,0.0,0.01
66,0.68,0.44,0.53,0.84,0.71,0.77,0.19,0.02,0.0,0.01
67,0.51,0.41,0.46,0.8,0.66,0.72,0.23,0.14,0.0,0.07
68,0.58,0.5,0.53,0.8,0.69,0.74,0.24,0.08,0.01,0.05
69,0.43,0.5,0.46,0.79,0.67,0.73,0.25,0.22,0.01,0.12
70,0.51,0.45,0.48,0.8,0.73,0.76,0.22,0.11,0.02,0.06
71,0.63,0.67,0.65,0.78,0.69,0.73,0.24,0.35,0.05,0.15
72,0.59,0.48,0.53,0.8,0.65,0.72,0.18,0.05,0.01,0.03
73,0.6,0.58,0.59,0.78,0.67,0.72,0.26,0.31,0.04,0.15
74,0.62,0.55,0.58,0.78,0.66,0.71,0.23,0.11,0.02,0.07
75,0.53,0.47,0.5,0.78,0.6,0.68,0.3,0.15,0.02,0.11
76,0.46,0.52,0.49,0.79,0.7,0.74,0.2,0.14,0.01,0.08
77,0.58,0.57,0.57,0.81,0.64,0.72,0.21,0.16,0.03,0.09
78,0.6,0.55,0.57,0.83,0.68,0.75,0.21,0.08,0.0,0.05
79,0.64,0.53,0.58,0.8,0.68,0.74,0.24,0.15,0.03,0.08
80,0.5,0.43,0.46,0.8,0.69,0.74,0.2,0.08,0.0,0.05
81,0.56,0.51,0.53,0.79,0.64,0.71,0.23,0.1,0.01,0.06
82,0.58,0.53,0.55,0.8,0.68,0.73,0.27,0.16,0.02,0.08
83,0.67,0.46,0.54,0.8,0.62,0.7,0.24,0.03,0.0,0.02
84,0.53,0.5,0.52,0.8,0.62,0.7,0.2,0.09,0.02,0.06
85,0.67,0.57,0.61,0.79,0.67,0.72,0.28,0.13,0.02,0.08
86,0.55,0.55,0.55,0.78,0.66,0.71,0.21,0.09,0.01,0.05
87,0.44,0.43,0.44,0.77,0.62,0.68,0.28,0.16,0.01,0.1
88,0.65,0.49,0.56,0.79,0.68,0.73,0.21,0.07,0.02,0.06
89,0.57,0.52,0.54,0.82,0.69,0.75,0.24,0.12,0.01,0.07
90,0.65,0.65,0.65,0.78,0.67,0.72,0.24,0.22,0.04,0.1
91,0.51,0.59,0.55,0.81,0.69,0.74,0.19,0.21,0.03,0.12
92,0.57,0.56,0.57,0.79,0.69,0.73,0.2,0.18,0.02,0.1
93,0.51,0.5,0.5,0.79,0.68,0.73,0.21,0.12,0.01,0.07
94,0.6,0.58,0.59,0.81,0.73,0.76,0.21,0.16,0.03,0.09
95,0.51,0.51,0.51,0.8,0.72,0.76,0.17,0.11,0.01,0.06
96,0.63,0.59,0.61,0.77,0.65,0.71,0.2,0.26,0.04,0.13
97,0.48,0.48,0.48,0.79,0.68,0.73,0.21,0.15,0.02,0.09
98,0.48,0.51,0.49,0.78,0.72,0.75,0.23,0.22,0.04,0.12
99,0.48,0.44,0.46,0.79,0.63,0.7,0.2,0.07,0.0,0.04
100,0.42,0.43,0.43,0.8,0.71,0.75,0.3,0.08,0.01,0.04
101,0.46,0.49,0.48,0.76,0.58,0.66,0.26,0.12,0.01,0.07
102,0.58,0.54,0.56,0.79,0.69,0.74,0.29,0.22,0.03,0.12
103,0.44,0.45,0.44,0.79,0.65,0.72,0.27,0.05,0.0,0.04
104,0.39,0.39,0.39,0.78,0.73,0.75,0.29,0.07,0.0,0.04
105,0.6,0.59,0.59,0.8,0.71,0.75,0.21,0.23,0.03,0.11
106,0.56,0.54,0.55,0.79,0.69,0.74,0.29,0.13,0.02,0.08
107,0.45,0.36,0.4,0.81,0.67,0.73,0.24,0.06,0.01,0.05
108,0.57,0.54,0.56,0.78,0.61,0.69,0.15,0.09,0.01,0.06
109,0.65,0.49,0.56,0.8,0.67,0.73,0.24,0.06,0.01,0.04
110,0.53,0.48,0.5,0.81,0.71,0.76,0.26,0.11,0.0,0.08
111,0.53,0.47,0.5,0.8,0.68,0.73,0.28,0.07,0.01,0.05
112,0.44,0.44,0.44,0.78,0.66,0.72,0.22,0.08,0.01,0.06
113,0.63,0.5,0.56,0.8,0.7,0.74,0.27,0.11,0.01,0.06
114,0.4,0.47,0.43,0.8,0.72,0.76,0.28,0.14,0.01,0.08
115,0.56,0.55,0.55,0.79,0.73,0.76,0.24,0.17,0.02,0.09
116,0.56,0.56,0.56,0.77,0.67,0.72,0.22,0.19,0.02,0.1
117,0.65,0.55,0.6,0.79,0.68,0.73,0.3,0.19,0.03,0.1
118,0.53,0.55,0.54,0.81,0.75,0.77,0.22,0.18,0.02,0.09
119,0.43,0.49,0.46,0.8,0.62,0.7,0.23,0.1,0.0,0.06
120,0.55,0.61,0.58,0.79,0.75,0.77,0.21,0.15,0.02,0.09
121,0.82,0.74,0.78,0.84,0.72,0.78,0.3,0.36,0.15,0.18
122,0.61,0.48,0.53,0.79,0.68,0.73,0.25,0.11,0.01,0.07
123,0.64,0.5,0.56,0.79,0.65,0.72,0.18,0.11,0.02,0.07
124,0.52,0.53,0.52,0.78,0.66,0.71,0.27,0.12,0.01,0.06
125,0.56,0.59,0.57,0.75,0.64,0.69,0.23,0.18,0.04,0.1
126,0.47,0.62,0.53,0.78,0.67,0.72,0.23,0.12,0.01,0.08
127,0.57,0.61,0.59,0.76,0.66,0.71,0.26,0.21,0.02,0.12
128,0.61,0.5,0.55,0.8,0.69,0.74,0.25,0.14,0.03,0.07
129,0.6,0.65,0.62,0.79,0.7,0.74,0.22,0.24,0.03,0.12
130,0.51,0.47,0.49,0.81,0.67,0.73,0.23,0.06,0.0,0.04
131,0.55,0.54,0.54,0.78,0.68,0.73,0.2,0.29,0.03,0.13
132,0.57,0.5,0.53,0.79,0.65,0.71,0.23,0.13,0.03,0.08
133,0.47,0.36,0.41,0.78,0.59,0.67,0.25,0.03,0.01,0.02
134,0.58,0.6,0.59,0.8,0.7,0.75,0.2,0.16,0.01,0.08
135,0.51,0.46,0.48,0.78,0.69,0.73,0.27,0.14,0.01,0.1
136,0.59,0.67,0.63,0.79,0.66,0.72,0.24,0.37,0.07,0.18
137,0.56,0.66,0.61,0.77,0.69,0.73,0.2,0.21,0.02,0.1
138,0.52,0.46,0.49,0.8,0.61,0.69,0.2,0.05,0.01,0.04
139,0.59,0.45,0.51,0.81,0.67,0.74,0.32,0.05,0.01,0.04
140,0.49,0.49,0.49,0.8,0.76,0.78,0.29,0.22,0.01,0.12
141,0.45,0.46,0.45,0.79,0.64,0.71,0.22,0.02,0.0,0.01
142,0.54,0.4,0.46,0.78,0.66,0.72,0.3,0.12,0.01,0.07
143,0.48,0.43,0.45,0.8,0.67,0.73,0.24,0.1,0.01,0.08
144,0.49,0.57,0.53,0.77,0.62,0.69,0.27,0.23,0.04,0.15
145,0.48,0.39,0.43,0.79,0.68,0.73,0.21,0.03,0.0,0.02
146,0.55,0.69,0.61,0.79,0.71,0.74,0.24,0.43,0.06,0.23
147,0.58,0.55,0.56,0.79,0.69,0.74,0.19,0.14,0.02,0.08
148,0.49,0.52,0.5,0.79,0.66,0.72,0.23,0.2,0.02,0.12
149,0.61,0.57,0.59,0.8,0.7,0.74,0.24,0.2,0.03,0.09
150,0.62,0.48,0.54,0.81,0.69,0.74,0.23,0.04,0.01,0.03
151,0.6,0.58,0.59,0.77,0.67,0.72,0.24,0.22,0.04,0.12
152,0.61,0.51,0.55,0.8,0.68,0.74,0.24,0.06,0.01,0.04
153,0.55,0.66,0.6,0.79,0.67,0.72,0.23,0.3,0.05,0.15
154,0.57,0.52,0.54,0.8,0.64,0.71,0.29,0.12,0.02,0.08
155,0.46,0.35,0.39,0.82,0.67,0.74,0.21,0.06,0.01,0.04
156,0.57,0.39,0.47,0.8,0.68,0.74,0.14,0.03,0.0,0.02
