,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
0,0.54,0.49,0.51,0.79,0.69,0.74,0.31,0.22,0.03,0.13
1,0.54,0.57,0.55,0.79,0.68,0.73,0.22,0.2,0.03,0.12
2,0.53,0.58,0.55,0.8,0.71,0.75,0.26,0.3,0.06,0.15
3,0.58,0.4,0.47,0.8,0.69,0.74,0.19,0.03,0.0,0.02
4,0.57,0.45,0.5,0.81,0.67,0.73,0.22,0.09,0.02,0.07
5,0.47,0.55,0.51,0.81,0.76,0.78,0.23,0.25,0.03,0.15
6,0.53,0.47,0.5,0.8,0.66,0.72,0.23,0.12,0.01,0.07
7,0.47,0.37,0.42,0.8,0.64,0.71,0.16,0.02,0.0,0.02
8,0.49,0.42,0.45,0.8,0.67,0.73,0.21,0.05,0.01,0.04
9,0.65,0.5,0.57,0.8,0.69,0.74,0.22,0.08,0.01,0.05
10,0.68,0.6,0.64,0.8,0.72,0.76,0.23,0.24,0.02,0.11
11,0.58,0.54,0.56,0.78,0.64,0.7,0.25,0.18,0.02,0.09
12,0.53,0.42,0.47,0.81,0.7,0.75,0.18,0.09,0.0,0.05
13,0.6,0.5,0.55,0.8,0.67,0.73,0.22,0.06,0.01,0.04
14,0.63,0.48,0.54,0.81,0.7,0.75,0.26,0.1,0.02,0.06
15,0.71,0.54,0.61,0.8,0.66,0.72,0.21,0.07,0.01,0.05
16,0.48,0.57,0.52,0.76,0.63,0.69,0.21,0.24,0.01,0.11
17,0.55,0.49,0.51,0.81,0.72,0.76,0.23,0.14,0.02,0.08
18,0.53,0.51,0.52,0.79,0.69,0.74,0.26,0.08,0.01,0.06
19,0.64,0.54,0.58,0.79,0.66,0.72,0.23,0.09,0.01,0.05
20,0.58,0.47,0.52,0.8,0.64,0.71,0.19,0.07,0.01,0.05
21,0.6,0.63,0.61,0.78,0.68,0.73,0.2,0.36,0.06,0.17
22,0.52,0.55,0.53,0.77,0.62,0.69,0.24,0.15,0.03,0.09
23,0.5,0.61,0.54,0.79,0.74,0.76,0.2,0.24,0.02,0.12
24,0.49,0.34,0.4,0.81,0.68,0.74,0.25,0.01,0.0,0.01
25,0.56,0.61,0.58,0.78,0.67,0.72,0.21,0.21,0.02,0.11
26,0.59,0.43,0.5,0.82,0.7,0.75,0.26,0.09,0.01,0.05
27,0.65,0.58,0.61,0.8,0.73,0.76,0.25,0.15,0.03,0.08
28,0.62,0.5,0.55,0.81,0.65,0.72,0.2,0.06,0.01,0.03
29,0.48,0.47,0.47,0.79,0.67,0.72,0.26,0.12,0.01,0.07
30,0.48,0.46,0.47,0.78,0.74,0.76,0.31,0.11,0.0,0.07
