,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
0,0.7,0.52,0.6,0.83,0.66,0.74,0.25,0.09,0.02,0.05
1,0.88,0.8,0.84,0.85,0.69,0.76,0.36,0.5,0.28,0.31
2,0.8,0.7,0.75,0.85,0.69,0.76,0.37,0.17,0.08,0.1
3,0.77,0.63,0.7,0.82,0.69,0.75,0.27,0.16,0.06,0.09
4,0.72,0.52,0.6,0.86,0.63,0.73,0.28,0.1,0.04,0.08
5,0.62,0.46,0.53,0.87,0.76,0.81,0.35,0.12,0.05,0.09
6,0.8,0.64,0.71,0.86,0.67,0.75,0.41,0.17,0.09,0.13
7,0.77,0.69,0.73,0.8,0.67,0.73,0.24,0.2,0.06,0.09
8,0.89,0.74,0.81,0.85,0.72,0.78,0.35,0.39,0.21,0.25
9,0.81,0.77,0.79,0.86,0.67,0.75,0.36,0.36,0.18,0.19
10,0.83,0.64,0.72,0.85,0.71,0.77,0.37,0.23,0.12,0.13
11,0.81,0.71,0.76,0.81,0.64,0.71,0.31,0.2,0.07,0.1
12,0.76,0.47,0.58,0.84,0.68,0.75,0.42,0.13,0.05,0.09
13,0.92,0.83,0.87,0.83,0.71,0.77,0.31,0.21,0.12,0.15
14,0.85,0.64,0.73,0.86,0.75,0.8,0.47,0.21,0.13,0.16
15,0.78,0.52,0.62,0.82,0.7,0.75,0.27,0.09,0.04,0.07
16,0.78,0.59,0.67,0.78,0.59,0.67,0.25,0.22,0.11,0.17
17,0.92,0.7,0.8,0.87,0.68,0.76,0.49,0.27,0.15,0.19
18,0.67,0.7,0.69,0.81,0.68,0.74,0.27,0.27,0.06,0.14
19,0.9,0.61,0.72,0.82,0.61,0.7,0.3,0.09,0.06,0.06
20,0.74,0.64,0.69,0.81,0.63,0.71,0.27,0.16,0.05,0.1
21,0.94,0.6,0.73,0.88,0.69,0.77,0.65,0.25,0.19,0.19
22,0.82,0.49,0.61,0.83,0.6,0.69,0.17,0.05,0.02,0.03
23,0.72,0.57,0.63,0.85,0.7,0.76,0.33,0.2,0.09,0.14
24,0.84,0.64,0.73,0.87,0.73,0.79,0.48,0.28,0.19,0.19
25,0.86,0.81,0.83,0.84,0.72,0.78,0.37,0.61,0.3,0.26
26,0.71,0.5,0.59,0.85,0.69,0.76,0.39,0.13,0.04,0.09
27,0.68,0.68,0.68,0.77,0.7,0.73,0.24,0.28,0.08,0.14
28,0.77,0.68,0.72,0.85,0.68,0.76,0.45,0.25,0.14,0.19
29,0.61,0.53,0.56,0.81,0.67,0.74,0.32,0.12,0.0,0.07
30,0.84,0.6,0.7,0.9,0.76,0.83,0.51,0.26,0.17,0.16
31,0.69,0.61,0.65,0.85,0.67,0.75,0.27,0.11,0.03,0.09
32,0.89,0.71,0.79,0.84,0.66,0.74,0.33,0.26,0.21,0.23
33,0.79,0.69,0.73,0.84,0.73,0.78,0.36,0.27,0.13,0.15
34,0.61,0.57,0.59,0.79,0.7,0.74,0.22,0.12,0.01,0.07
35,0.89,0.68,0.77,0.85,0.75,0.8,0.35,0.26,0.12,0.12
36,0.7,0.69,0.69,0.84,0.76,0.8,0.3,0.47,0.19,0.23
37,0.92,0.75,0.83,0.83,0.73,0.78,0.32,0.22,0.16,0.19
38,0.75,0.66,0.7,0.83,0.69,0.75,0.31,0.35,0.17,0.18
39,0.86,0.81,0.83,0.88,0.74,0.8,0.36,0.53,0.31,0.34
40,0.65,0.57,0.61,0.85,0.69,0.76,0.41,0.32,0.15,0.19
41,0.77,0.54,0.64,0.84,0.68,0.75,0.3,0.15,0.03,0.11
42,0.82,0.77,0.79,0.84,0.68,0.76,0.42,0.32,0.18,0.22
43,0.84,0.59,0.69,0.84,0.72,0.77,0.33,0.1,0.05,0.07
44,0.88,0.75,0.81,0.85,0.66,0.74,0.51,0.49,0.33,0.35
45,0.76,0.65,0.7,0.81,0.6,0.69,0.3,0.29,0.09,0.13
46,0.74,0.67,0.7,0.83,0.71,0.76,0.32,0.17,0.07,0.09
47,0.97,0.66,0.78,0.85,0.66,0.75,0.59,0.27,0.21,0.24
48,0.64,0.53,0.58,0.8,0.61,0.69,0.16,0.05,0.02,0.03
49,0.77,0.62,0.69,0.82,0.62,0.7,0.27,0.07,0.02,0.05
50,0.82,0.76,0.79,0.82,0.67,0.74,0.36,0.38,0.18,0.19
51,0.94,0.81,0.87,0.86,0.76,0.81,0.58,0.45,0.34,0.4
52,0.88,0.74,0.8,0.85,0.71,0.77,0.31,0.26,0.15,0.17
53,0.8,0.68,0.74,0.84,0.71,0.77,0.3,0.26,0.08,0.12
54,0.76,0.69,0.72,0.83,0.66,0.73,0.33,0.25,0.09,0.12
55,0.67,0.5,0.57,0.86,0.68,0.76,0.42,0.15,0.07,0.1
56,0.81,0.78,0.8,0.84,0.62,0.72,0.43,0.37,0.23,0.31
57,0.75,0.74,0.74,0.78,0.67,0.72,0.26,0.52,0.23,0.26
58,0.73,0.57,0.64,0.84,0.68,0.75,0.25,0.15,0.04,0.07
59,0.85,0.48,0.61,0.83,0.6,0.69,0.23,0.04,0.02,0.03
60,0.67,0.55,0.6,0.81,0.65,0.72,0.27,0.16,0.03,0.09
61,0.92,0.61,0.73,0.83,0.65,0.73,0.38,0.17,0.13,0.14
62,0.82,0.67,0.74,0.81,0.65,0.73,0.34,0.21,0.07,0.1
63,0.75,0.75,0.75,0.8,0.73,0.76,0.27,0.41,0.17,0.18
64,0.77,0.7,0.73,0.84,0.67,0.75,0.36,0.27,0.13,0.19
65,0.86,0.76,0.81,0.82,0.68,0.74,0.35,0.28,0.15,0.17
66,0.79,0.72,0.76,0.83,0.76,0.79,0.28,0.25,0.1,0.11
67,0.74,0.59,0.66,0.86,0.66,0.75,0.36,0.25,0.14,0.2
68,0.85,0.77,0.81,0.86,0.72,0.79,0.42,0.31,0.19,0.2
69,0.66,0.51,0.57,0.84,0.66,0.74,0.3,0.14,0.04,0.08
70,0.85,0.76,0.8,0.85,0.77,0.81,0.49,0.28,0.19,0.21
71,0.73,0.61,0.66,0.81,0.68,0.74,0.3,0.17,0.06,0.09
72,0.88,0.73,0.8,0.85,0.7,0.77,0.41,0.22,0.11,0.15
73,0.73,0.75,0.74,0.82,0.69,0.75,0.3,0.4,0.18,0.16
74,0.78,0.64,0.7,0.82,0.65,0.73,0.26,0.11,0.04,0.07
75,0.87,0.73,0.8,0.82,0.62,0.71,0.44,0.32,0.2,0.26
76,0.86,0.76,0.81,0.89,0.75,0.81,0.49,0.43,0.29,0.34
77,0.78,0.81,0.79,0.84,0.67,0.74,0.36,0.4,0.22,0.28
78,0.84,0.59,0.69,0.9,0.71,0.79,0.49,0.16,0.11,0.12
79,0.77,0.78,0.78,0.82,0.71,0.76,0.28,0.47,0.21,0.2
80,0.71,0.7,0.71,0.82,0.73,0.77,0.33,0.41,0.19,0.23
81,0.76,0.63,0.69,0.81,0.67,0.73,0.3,0.22,0.08,0.12
82,0.77,0.62,0.69,0.84,0.69,0.76,0.31,0.16,0.06,0.09
83,0.81,0.65,0.72,0.83,0.68,0.75,0.4,0.25,0.13,0.13
84,0.74,0.55,0.63,0.81,0.64,0.71,0.34,0.15,0.07,0.09
85,0.82,0.63,0.71,0.84,0.68,0.75,0.31,0.18,0.08,0.11
86,0.74,0.62,0.68,0.81,0.68,0.74,0.34,0.23,0.08,0.12
87,0.69,0.79,0.74,0.78,0.63,0.69,0.27,0.55,0.27,0.35
88,0.83,0.72,0.77,0.81,0.7,0.75,0.27,0.25,0.09,0.13
89,0.8,0.77,0.79,0.86,0.72,0.78,0.45,0.29,0.19,0.21
90,0.84,0.81,0.83,0.81,0.69,0.74,0.25,0.33,0.18,0.2
91,0.74,0.67,0.7,0.85,0.69,0.76,0.34,0.15,0.09,0.1
92,0.71,0.57,0.63,0.85,0.67,0.75,0.28,0.13,0.04,0.08
93,0.73,0.54,0.62,0.84,0.68,0.75,0.31,0.13,0.03,0.08
94,0.7,0.59,0.64,0.83,0.73,0.78,0.34,0.17,0.08,0.1
95,0.74,0.72,0.73,0.85,0.75,0.8,0.37,0.3,0.13,0.18
96,0.76,0.69,0.73,0.81,0.65,0.72,0.22,0.27,0.1,0.17
97,0.87,0.82,0.85,0.87,0.7,0.78,0.46,0.4,0.25,0.24
98,0.78,0.77,0.78,0.82,0.75,0.78,0.39,0.53,0.29,0.34
99,0.73,0.68,0.7,0.83,0.66,0.73,0.36,0.34,0.16,0.18
100,0.66,0.49,0.57,0.85,0.71,0.77,0.33,0.06,0.04,0.05
101,0.79,0.77,0.78,0.79,0.6,0.68,0.32,0.39,0.15,0.2
102,0.82,0.57,0.67,0.85,0.69,0.76,0.24,0.13,0.03,0.06
103,0.73,0.62,0.67,0.83,0.65,0.73,0.29,0.09,0.04,0.06
104,0.57,0.59,0.58,0.8,0.74,0.77,0.29,0.32,0.08,0.14
105,0.92,0.78,0.85,0.88,0.72,0.79,0.46,0.28,0.2,0.22
106,0.71,0.66,0.69,0.82,0.72,0.77,0.31,0.4,0.13,0.23
107,0.91,0.86,0.89,0.86,0.73,0.79,0.5,0.73,0.6,0.65
108,0.72,0.64,0.68,0.8,0.64,0.71,0.24,0.18,0.05,0.12
109,0.84,0.75,0.79,0.85,0.72,0.78,0.51,0.44,0.3,0.35
110,0.84,0.73,0.78,0.87,0.73,0.8,0.47,0.27,0.2,0.21
111,0.57,0.64,0.6,0.8,0.7,0.75,0.3,0.2,0.05,0.1
112,0.71,0.53,0.61,0.84,0.68,0.75,0.3,0.12,0.02,0.08
113,0.82,0.71,0.76,0.84,0.73,0.79,0.38,0.33,0.18,0.21
114,0.71,0.68,0.69,0.84,0.74,0.79,0.35,0.35,0.16,0.23
115,0.62,0.46,0.52,0.83,0.72,0.77,0.2,0.04,0.01,0.02
116,0.79,0.58,0.67,0.85,0.65,0.74,0.32,0.13,0.04,0.08
117,0.75,0.69,0.72,0.83,0.68,0.75,0.25,0.27,0.09,0.12
118,0.78,0.75,0.77,0.84,0.78,0.81,0.35,0.45,0.22,0.25
119,0.67,0.53,0.59,0.8,0.66,0.72,0.26,0.14,0.03,0.09
120,0.82,0.65,0.72,0.84,0.76,0.8,0.33,0.2,0.06,0.1
121,0.82,0.74,0.78,0.84,0.72,0.78,0.3,0.36,0.15,0.18
122,0.85,0.66,0.75,0.82,0.71,0.76,0.38,0.29,0.17,0.18
123,0.87,0.8,0.83,0.8,0.68,0.74,0.28,0.31,0.18,0.21
124,0.76,0.68,0.72,0.79,0.66,0.72,0.29,0.32,0.1,0.15
125,0.77,0.5,0.61,0.79,0.61,0.69,0.16,0.04,0.02,0.03
126,0.74,0.59,0.66,0.85,0.65,0.73,0.38,0.04,0.02,0.03
127,0.71,0.56,0.62,0.79,0.65,0.71,0.2,0.11,0.02,0.07
128,0.77,0.64,0.7,0.84,0.72,0.78,0.26,0.35,0.12,0.14
129,0.69,0.69,0.69,0.79,0.72,0.75,0.28,0.27,0.07,0.13
130,0.61,0.63,0.62,0.8,0.7,0.75,0.24,0.26,0.06,0.13
131,0.8,0.7,0.75,0.84,0.69,0.76,0.36,0.46,0.25,0.27
132,0.84,0.71,0.77,0.82,0.69,0.75,0.39,0.3,0.2,0.24
133,0.65,0.52,0.58,0.79,0.61,0.68,0.22,0.07,0.02,0.04
134,0.73,0.64,0.68,0.81,0.73,0.77,0.26,0.23,0.08,0.11
135,0.7,0.79,0.74,0.81,0.71,0.76,0.41,0.49,0.26,0.34
136,0.71,0.54,0.62,0.83,0.63,0.72,0.25,0.06,0.03,0.05
137,0.8,0.72,0.76,0.81,0.67,0.73,0.21,0.09,0.04,0.05
138,0.74,0.67,0.7,0.8,0.62,0.7,0.26,0.18,0.09,0.11
139,0.81,0.73,0.77,0.84,0.69,0.76,0.38,0.25,0.12,0.16
140,0.81,0.72,0.76,0.87,0.78,0.83,0.4,0.29,0.15,0.2
141,0.77,0.8,0.79,0.78,0.67,0.72,0.23,0.41,0.15,0.22
142,0.76,0.61,0.67,0.85,0.67,0.75,0.37,0.25,0.07,0.12
143,0.57,0.68,0.62,0.83,0.7,0.76,0.28,0.26,0.08,0.14
144,0.69,0.44,0.54,0.83,0.58,0.69,0.07,0.02,0.0,0.02
145,0.76,0.65,0.7,0.83,0.7,0.76,0.33,0.18,0.07,0.1
146,0.72,0.77,0.74,0.85,0.71,0.77,0.3,0.42,0.24,0.27
147,0.85,0.67,0.75,0.85,0.73,0.78,0.36,0.22,0.12,0.13
148,0.68,0.72,0.7,0.8,0.68,0.74,0.26,0.42,0.11,0.19
149,0.86,0.64,0.73,0.83,0.7,0.76,0.38,0.18,0.11,0.1
150,0.8,0.56,0.66,0.83,0.68,0.75,0.26,0.07,0.02,0.05
151,0.81,0.61,0.7,0.83,0.64,0.72,0.31,0.1,0.04,0.06
152,0.77,0.75,0.76,0.81,0.71,0.75,0.26,0.37,0.14,0.18
153,0.8,0.68,0.74,0.84,0.69,0.76,0.4,0.47,0.22,0.3
154,0.89,0.64,0.75,0.83,0.62,0.71,0.45,0.11,0.09,0.1
155,0.85,0.85,0.85,0.86,0.75,0.8,0.53,0.59,0.4,0.49
156,0.86,0.74,0.79,0.86,0.74,0.79,0.34,0.21,0.11,0.1
157,0.84,0.59,0.7,0.84,0.64,0.73,0.33,0.05,0.02,0.04
158,0.74,0.6,0.67,0.84,0.66,0.74,0.26,0.14,0.06,0.08
159,0.77,0.74,0.76,0.86,0.68,0.76,0.36,0.3,0.12,0.16
160,0.83,0.71,0.77,0.83,0.69,0.75,0.35,0.3,0.15,0.13
161,0.81,0.71,0.75,0.81,0.69,0.75,0.27,0.34,0.18,0.22
162,0.76,0.69,0.72,0.81,0.65,0.72,0.24,0.21,0.06,0.09
163,0.73,0.78,0.75,0.83,0.74,0.78,0.4,0.63,0.31,0.37
164,0.89,0.7,0.78,0.87,0.68,0.76,0.5,0.2,0.12,0.16
165,0.76,0.8,0.78,0.83,0.73,0.77,0.34,0.51,0.27,0.32
166,0.85,0.65,0.74,0.82,0.62,0.71,0.25,0.14,0.08,0.08
167,0.8,0.77,0.79,0.78,0.65,0.71,0.22,0.31,0.11,0.13
168,0.9,0.69,0.78,0.89,0.71,0.79,0.5,0.24,0.16,0.19
169,0.86,0.74,0.79,0.88,0.67,0.76,0.44,0.33,0.18,0.24
170,0.76,0.56,0.64,0.85,0.68,0.75,0.37,0.1,0.05,0.06
171,0.63,0.55,0.59,0.82,0.68,0.75,0.23,0.07,0.02,0.05
